equipment_id,operation_hours,temperature_celsius,vibration_mm_s,pressure_bar,current_amp,load_percentage,maintenance_days_since_last,failure_history_count,failure_next_7_days,high_temperature_flag,high_vibration_flag,maintenance_risk_flag,operational_stress_score,equipment_type_conveyor_belt,equipment_type_crusher,equipment_type_mill,equipment_type_pump,equipment_type_truck,environment_dust_level_high,environment_dust_level_low,environment_dust_level_medium,shift_day,shift_night
CRU-00001,3562.4,87.42,7.79,3.68,667.11,100.0,29,1,0,1,1,0,0.521965054217718,0,1,0,0,0,0,0,1,1,0
TRU-00002,5997.7,83.55,5.48,5.94,516.9,85.72,30,0,0,0,0,0,0.46282527325000733,0,0,0,0,1,0,1,0,0,1
TRU-00003,3075.2,81.47,6.0,5.41,343.32,59.62,87,0,0,0,0,0,0.3807669650207482,0,0,0,0,1,1,0,0,1,0
TRU-00004,9146.6,79.35,7.58,6.38,491.26,65.17,39,0,1,0,1,0,0.4794628992987423,0,0,0,0,1,1,0,0,1,0
TRU-00005,2943.2,73.02,5.89,4.83,460.38,77.03,31,0,0,0,0,0,0.37455177022026737,0,0,0,0,1,0,1,0,1,0
CRU-00006,5050.2,85.41,9.57,6.93,522.49,68.05,63,3,1,1,1,1,0.49585642240424915,0,1,0,0,0,0,0,1,1,0
MIL-00007,2943.7,70.82,4.72,6.29,563.93,76.51,51,1,0,0,0,0,0.3638138874776886,0,0,1,0,0,0,0,1,1,0
CON-00008,2382.0,62.76,2.56,4.74,282.52,62.74,72,0,0,0,0,0,0.2558719281093322,1,0,0,0,0,1,0,0,1,0
CRU-00009,2341.3,82.93,9.4,7.37,653.28,100.0,79,2,1,0,1,0,0.5376630845890233,0,1,0,0,0,0,0,1,1,0
MIL-00010,6270.2,89.31,9.71,5.72,515.48,82.54,41,1,0,1,1,0,0.54828802020452,0,0,1,0,0,1,0,0,0,1
PUM-00011,1738.5,82.94,6.17,7.78,341.6,94.4,15,2,0,0,0,0,0.4178902787175641,0,0,0,1,0,0,0,1,1,0
TRU-00012,2739.9,71.5,3.62,6.5,546.19,90.87,29,5,0,0,0,1,0.3674274498960922,0,0,0,0,1,0,1,0,0,1
CRU-00013,3088.3,79.46,8.48,7.53,595.85,90.77,54,3,1,0,1,1,0.4869311418663471,0,1,0,0,0,0,0,1,1,0
TRU-00014,3458.5,62.45,2.87,3.23,364.89,71.36,38,0,0,0,0,0,0.2843017352159314,0,0,0,0,1,0,1,0,1,0
CRU-00015,4546.7,79.32,10.07,7.69,533.86,80.04,23,1,0,0,1,0,0.48903005337742256,0,1,0,0,0,0,0,1,0,1
PUM-00016,2325.5,59.61,6.04,10.6,378.45,80.04,83,2,0,0,0,0,0.34994421089412564,0,0,0,1,0,0,0,1,0,1
MIL-00017,4604.9,69.79,6.82,7.02,527.18,85.88,30,0,0,0,0,0,0.42437153265026645,0,0,1,0,0,0,1,0,1,0
TRU-00018,6192.3,81.34,6.72,7.51,549.87,85.33,31,1,0,0,0,0,0.47984906831785124,0,0,0,0,1,1,0,0,0,1
CRU-00019,5886.7,87.68,8.61,9.35,555.56,87.66,91,2,0,1,1,1,0.5561047761218845,0,1,0,0,0,0,0,1,1,0
PUM-00020,2440.1,82.43,5.79,11.14,387.92,72.44,39,0,1,0,0,0,0.3838495256576933,0,0,0,1,0,0,1,0,1,0
TRU-00021,4956.1,76.63,4.54,6.92,433.74,63.26,78,2,0,0,0,0,0.3774976127244341,0,0,0,0,1,0,0,1,1,0
TRU-00022,5691.1,85.33,6.33,4.54,420.42,76.3,15,0,0,1,0,0,0.44381735481265544,0,0,0,0,1,0,1,0,0,1
PUM-00023,6337.8,71.54,8.79,8.19,311.15,79.6,66,0,0,0,1,0,0.4688868463282291,0,0,0,1,0,0,0,1,0,1
PUM-00024,1380.4,62.9,5.57,8.88,325.36,88.75,20,3,0,0,0,1,0.32991189162539564,0,0,0,1,0,0,0,1,0,1
TRU-00025,4037.3,78.24,4.15,4.96,492.61,83.6,23,0,0,0,0,0,0.39091336859704107,0,0,0,0,1,0,1,0,0,1
TRU-00026,4945.6,71.6,6.44,6.59,408.93,80.81,60,2,0,0,0,0,0.42132405459473593,0,0,0,0,1,0,1,0,1,0
PUM-00027,6592.6,66.73,7.89,11.82,322.78,93.66,9,0,0,0,1,0,0.45120465500547047,0,0,0,1,0,0,0,1,1,0
CRU-00028,4288.7,94.87,9.34,8.45,526.48,95.42,59,0,0,1,1,0,0.5713014106771753,0,1,0,0,0,1,0,0,0,1
MIL-00029,1943.0,72.67,7.62,7.56,561.02,95.06,22,2,0,0,1,0,0.4312804389575639,0,0,1,0,0,0,0,1,0,1
PUM-00030,3126.3,79.06,6.78,12.64,417.1,73.7,11,2,0,0,0,0,0.3908832086560244,0,0,0,1,0,1,0,0,0,1
MIL-00031,2340.3,86.68,9.04,5.46,534.55,79.82,75,1,1,1,1,0,0.48877888647051076,0,0,1,0,0,1,0,0,0,1
MIL-00032,3819.4,84.03,7.72,6.28,446.03,73.37,64,0,0,0,1,0,0.4535064074336488,0,0,1,0,0,0,1,0,1,0
TRU-00033,7688.9,81.78,9.58,4.5,358.16,69.18,75,1,0,0,1,0,0.51442713585524,0,0,0,0,1,0,0,1,1,0
MIL-00034,1803.4,97.03,5.91,8.5,532.31,70.21,60,0,1,1,0,0,0.43703922701227055,0,0,1,0,0,0,0,1,0,1
CRU-00035,3724.2,89.07,7.89,8.16,606.75,86.03,14,1,0,1,1,0,0.489184681097952,0,1,0,0,0,1,0,0,0,1
CON-00036,3317.4,47.85,3.34,3.69,253.3,59.97,32,0,0,0,0,0,0.20879426415806165,1,0,0,0,0,0,0,1,0,1
CRU-00037,2702.4,85.17,7.01,8.26,472.49,89.37,13,2,0,1,0,0,0.4476312512356252,0,1,0,0,0,0,0,1,1,0
MIL-00038,2249.5,72.39,6.67,7.31,433.22,68.42,65,1,0,0,0,0,0.3691839378386366,0,0,1,0,0,0,1,0,1,0
CON-00039,5714.7,63.56,2.98,6.32,205.14,67.91,83,1,0,0,0,0,0.3182575087245357,1,0,0,0,0,0,0,1,0,1
PUM-00040,3216.7,71.19,4.64,9.44,257.71,68.32,24,1,0,0,0,0,0.3160942766544189,0,0,0,1,0,0,1,0,0,1
TRU-00041,4913.7,99.11,7.77,4.95,480.43,70.24,15,1,1,1,1,0,0.4901928179973128,0,0,0,0,1,1,0,0,1,0
PUM-00042,1642.4,88.56,7.07,10.06,309.86,71.9,57,0,1,1,0,0,0.41368619395116646,0,0,0,1,0,0,0,1,1,0
TRU-00043,3545.1,81.44,4.52,7.15,501.94,69.57,64,2,0,0,0,0,0.3870533541211199,0,0,0,0,1,1,0,0,1,0
CRU-00044,6466.9,89.49,9.85,6.27,470.46,85.27,62,1,1,1,1,0,0.5652407220827228,0,1,0,0,0,0,0,1,0,1
TRU-00045,1749.2,71.65,4.33,5.25,477.27,76.76,22,0,0,0,0,0,0.3272651577914041,0,0,0,0,1,0,0,1,0,1
CON-00046,1334.1,64.74,3.25,4.85,251.87,76.92,53,1,0,0,0,0,0.2808570002751014,1,0,0,0,0,1,0,0,1,0
TRU-00047,2110.4,77.64,4.8,6.16,416.07,64.8,67,0,0,0,0,0,0.3458745635497634,0,0,0,0,1,0,0,1,1,0
TRU-00048,6608.2,56.18,7.15,8.52,519.74,72.53,60,1,0,0,0,0,0.39525511953805104,0,0,0,0,1,0,0,1,0,1
PUM-00049,2565.9,68.96,3.24,10.43,345.09,74.61,50,1,0,0,0,0,0.30979425253190007,0,0,0,1,0,0,0,1,0,1
PUM-00050,2459.8,82.92,6.98,8.46,330.85,64.55,42,2,1,0,0,0,0.384071453032926,0,0,0,1,0,1,0,0,0,1
TRU-00051,5624.9,90.81,9.82,6.02,470.18,79.58,15,0,1,1,1,0,0.5257758323233188,0,0,0,0,1,1,0,0,1,0
CON-00052,2648.7,54.44,4.37,5.0,270.78,67.6,163,2,0,0,0,1,0.30994485847111664,1,0,0,0,0,0,0,1,0,1
TRU-00053,5477.2,90.68,7.54,6.02,393.9,76.94,72,0,0,1,1,0,0.5001760680579851,0,0,0,0,1,1,0,0,0,1
CON-00054,2528.5,49.28,4.75,1.6,255.71,59.17,68,1,0,0,0,0,0.23880510438901228,1,0,0,0,0,1,0,0,0,1
PUM-00055,2661.8,57.35,5.18,12.18,337.61,78.56,78,1,0,0,0,0,0.3254129819172665,0,0,0,1,0,1,0,0,0,1
CON-00056,6802.7,67.78,7.08,2.7,248.82,70.14,106,1,1,0,0,1,0.4275404059311999,1,0,0,0,0,1,0,0,1,0
MIL-00057,2994.7,76.95,3.51,6.29,441.0,78.12,44,0,0,0,0,0,0.3564483108864413,0,0,1,0,0,0,0,1,1,0
PUM-00058,3089.0,75.29,5.23,9.91,309.01,52.47,53,0,0,0,0,0,0.31706597658133795,0,0,0,1,0,0,1,0,0,1
CON-00059,7268.1,56.42,5.6,3.85,236.83,73.58,24,1,0,0,0,0,0.34733271473562044,1,0,0,0,0,0,0,1,0,1
CRU-00060,4581.0,79.57,7.77,7.71,565.15,94.53,17,1,1,0,1,0,0.48590149848921677,0,1,0,0,0,0,0,1,1,0
PUM-00061,2526.6,63.81,4.99,10.1,283.47,67.57,24,1,0,0,0,0,0.289966074032177,0,0,0,1,0,0,1,0,1,0
CRU-00062,3262.6,96.08,10.11,8.2,508.86,94.58,53,1,1,1,1,0,0.568436227674556,0,1,0,0,0,0,1,0,1,0
PUM-00063,5770.0,70.63,6.76,10.3,344.47,80.19,49,2,0,0,0,0,0.42336853309236366,0,0,0,1,0,1,0,0,1,0
CON-00064,4428.2,69.24,1.79,5.81,212.88,51.68,62,1,0,0,0,0,0.25643867309993296,1,0,0,0,0,0,0,1,1,0
CON-00065,5616.6,58.0,2.23,3.93,309.25,87.93,59,2,0,0,0,0,0.3296587703804189,1,0,0,0,0,0,1,0,1,0
TRU-00066,6908.6,79.08,9.22,6.35,326.68,59.01,46,0,0,0,1,0,0.45342920247872254,0,0,0,0,1,0,1,0,1,0
