equipment_id,equipment_type,operation_hours,temperature_celsius,vibration_mm_s,pressure_bar,current_amp,load_percentage,maintenance_days_since_last,failure_history_count,environment_dust_level,shift,failure_next_7_days
CRU-00001,crusher,3562.4,87.42,7.79,3.68,667.11,100.0,29,1,medium,day,0
TRU-00002,truck,5997.7,83.55,5.48,5.94,516.9,85.72,30,0,low,night,0
TRU-00003,truck,3075.2,81.47,6.0,5.41,343.32,59.62,87,0,high,day,0
TRU-00004,truck,9146.6,79.35,7.58,6.38,491.26,65.17,39,0,high,day,1
TRU-00005,truck,2943.2,73.02,5.89,4.83,460.38,77.03,31,0,low,day,0
CRU-00006,crusher,5050.2,85.41,9.57,6.93,522.49,68.05,63,3,medium,day,1
MIL-00007,mill,2943.7,70.82,4.72,6.29,563.93,76.51,51,1,medium,day,0
CON-00008,conveyor_belt,2382.0,62.76,2.56,4.74,282.52,62.74,72,0,high,day,0
CRU-00009,crusher,2341.3,82.93,9.4,7.37,653.28,100.0,79,2,medium,day,1
MIL-00010,mill,6270.2,89.31,9.71,5.72,515.48,82.54,41,1,high,night,0
PUM-00011,pump,1738.5,82.94,6.17,7.78,341.6,94.4,15,2,medium,day,0
TRU-00012,truck,2739.9,71.5,3.62,6.5,546.19,90.87,29,5,low,night,0
CRU-00013,crusher,3088.3,79.46,8.48,7.53,595.85,90.77,54,3,medium,day,1
TRU-00014,truck,3458.5,62.45,2.87,3.23,364.89,71.36,38,0,low,day,0
CRU-00015,crusher,4546.7,79.32,10.07,7.69,533.86,80.04,23,1,medium,night,0
PUM-00016,pump,2325.5,59.61,6.04,10.6,378.45,80.04,83,2,medium,night,0
MIL-00017,mill,4604.9,69.79,6.82,7.02,527.18,85.88,30,0,low,day,0
TRU-00018,truck,6192.3,81.34,6.72,7.51,549.87,85.33,31,1,high,night,0
CRU-00019,crusher,5886.7,87.68,8.61,9.35,555.56,87.66,91,2,medium,day,0
PUM-00020,pump,2440.1,82.43,5.79,11.14,387.92,72.44,39,0,low,day,1
TRU-00021,truck,4956.1,76.63,4.54,6.92,433.74,63.26,78,2,medium,day,0
TRU-00022,truck,5691.1,85.33,6.33,4.54,420.42,76.3,15,0,low,night,0
PUM-00023,pump,6337.8,71.54,8.79,8.19,311.15,79.6,66,0,medium,night,0
PUM-00024,pump,1380.4,62.9,5.57,8.88,325.36,88.75,20,3,medium,night,0
TRU-00025,truck,4037.3,78.24,4.15,4.96,492.61,83.6,23,0,low,night,0
TRU-00026,truck,4945.6,71.6,6.44,6.59,408.93,80.81,60,2,low,day,0
PUM-00027,pump,6592.6,66.73,7.89,11.82,322.78,93.66,9,0,medium,day,0
CRU-00028,crusher,4288.7,94.87,9.34,8.45,526.48,95.42,59,0,high,night,0
MIL-00029,mill,1943.0,72.67,7.62,7.56,561.02,95.06,22,2,medium,night,0
PUM-00030,pump,3126.3,79.06,6.78,12.64,417.1,73.7,11,2,high,night,0
MIL-00031,mill,2340.3,86.68,9.04,5.46,534.55,79.82,75,1,high,night,1
MIL-00032,mill,3819.4,84.03,7.72,6.28,446.03,73.37,64,0,low,day,0
TRU-00033,truck,7688.9,81.78,9.58,4.5,358.16,69.18,75,1,medium,day,0
MIL-00034,mill,1803.4,97.03,5.91,8.5,532.31,70.21,60,0,medium,night,1
CRU-00035,crusher,3724.2,89.07,7.89,8.16,606.75,86.03,14,1,high,night,0
CON-00036,conveyor_belt,3317.4,47.85,3.34,3.69,253.3,59.97,32,0,medium,night,0
