equipment_id,equipment_type,operation_hours,temperature_celsius,vibration_mm_s,pressure_bar,current_amp,load_percentage,maintenance_days_since_last,failure_history_count,environment_dust_level,shift,failure_next_7_days
EQ-CONVEYOR-BELT-139,conveyor_belt,7255.7,66.79,3.86,88.41,198.89,50.33,35,3,medium,day,0
EQ-HAUL-TRUCK-010,haul_truck,4800.9,81.16,5.28,156.48,419.85,68.99,22,0,high,night,0
EQ-EXCAVATOR-081,excavator,2545.0,87.49,5.78,235.78,462.8,84.67,37,0,medium,night,0
EQ-HAUL-TRUCK-147,haul_truck,2309.7,86.28,6.59,155.24,414.2,78.78,44,2,low,night,0
EQ-HAUL-TRUCK-029,haul_truck,2396.2,78.41,6.62,177.23,484.47,83.32,19,1,low,day,0
EQ-DRILL-RIG-010,drill_rig,3934.7,92.7,7.56,233.68,505.81,83.86,42,0,medium,night,1
EQ-BALL-MILL-135,ball_mill,5594.5,90.48,6.77,186.49,512.42,78.23,25,0,low,day,0
EQ-EXCAVATOR-124,excavator,3293.3,74.47,6.72,227.07,394.02,66.99,18,0,medium,night,0
EQ-DRILL-RIG-023,drill_rig,9276.1,85.64,7.19,224.59,465.28,78.97,18,2,low,day,1
EQ-BALL-MILL-092,ball_mill,6155.0,75.4,8.01,164.67,613.03,76.49,15,0,high,day,1
EQ-CRUSHER-068,crusher,2584.5,92.4,9.99,152.18,542.55,83.16,24,1,medium,day,0
EQ-EXCAVATOR-009,excavator,6626.3,70.36,3.9,219.75,243.87,72.55,13,1,low,night,0
EQ-DRILL-RIG-086,drill_rig,3046.2,81.06,6.9,189.92,365.73,65.3,47,1,medium,day,0
EQ-HAUL-TRUCK-075,haul_truck,1727.9,89.81,4.19,169.71,462.18,84.78,30,1,low,day,0
EQ-CONVEYOR-BELT-036,conveyor_belt,5426.3,74.09,0.99,26.03,218.29,53.93,39,2,medium,day,0
EQ-CONVEYOR-BELT-046,conveyor_belt,4503.3,50.95,5.23,87.72,200.41,73.07,67,0,medium,day,0
EQ-BALL-MILL-149,ball_mill,3177.3,93.08,6.33,216.47,560.79,76.25,40,1,medium,day,0
EQ-EXCAVATOR-135,excavator,3049.5,78.88,5.57,252.2,350.7,77.41,29,3,low,day,0
EQ-DRILL-RIG-002,drill_rig,3584.2,82.13,4.36,236.69,447.68,93.07,42,0,high,day,0
EQ-CRUSHER-060,crusher,2908.5,99.57,6.44,159.02,512.33,95.83,57,0,high,night,0
EQ-EXCAVATOR-026,excavator,4649.9,86.53,5.04,248.72,415.48,72.28,103,1,high,day,0
EQ-HAUL-TRUCK-082,haul_truck,5925.9,84.96,4.06,144.79,466.38,81.54,20,1,low,day,0
EQ-CRUSHER-053,crusher,6991.2,77.55,9.12,179.63,506.18,103.58,53,0,low,night,1
EQ-CONVEYOR-BELT-072,conveyor_belt,2575.9,59.94,3.53,95.11,246.73,73.42,33,1,medium,night,0
EQ-HAUL-TRUCK-055,haul_truck,4742.0,88.89,4.37,153.55,458.09,66.56,34,0,high,day,0
EQ-HAUL-TRUCK-142,haul_truck,1496.0,87.2,4.58,169.28,535.38,76.18,40,2,low,day,0
EQ-CRUSHER-089,crusher,2966.1,97.11,7.84,219.53,496.49,60.97,80,1,medium,night,1
EQ-CONVEYOR-BELT-035,conveyor_belt,4358.6,55.85,5.5,97.43,145.12,68.31,28,0,low,day,0
EQ-BALL-MILL-063,ball_mill,5606.5,91.83,5.38,198.37,666.87,91.7,20,2,low,day,0
EQ-CONVEYOR-BELT-110,conveyor_belt,4310.3,70.43,3.45,107.35,113.71,61.3,14,2,high,day,0
EQ-BALL-MILL-097,ball_mill,2115.4,100.76,6.66,151.54,532.95,91.93,56,0,high,day,0
EQ-DRILL-RIG-070,drill_rig,5551.2,83.74,5.87,234.65,420.04,61.69,30,0,medium,day,0
